DATA,SENIORIDADE,ATENDIMENTOS,PROJETOS
2024-05-02,Estagiário,9,Projeto1-Basis
2024-05-02,Senior,10,Projeto1-Funcional
2024-05-03,Junior,14,Projeto1-Basis
2024-05-03,Estagiário,8,Projeto1-Basis
2024-05-06,Junior,11,Projeto1-Basis
2024-05-06,Estagiário,15,Projeto1-Funcional
2024-05-07,Estagiário,6,Projeto1-Funcional
2024-05-08,Expert,12,Projeto1-Basis
2024-05-09,Senior,9,Projeto1-Funcional
2024-05-10,Expert,12,Projeto2-Funcional
2024-05-10,Junior,1,Projeto2-Funcional
2024-05-13,Junior,15,Projeto1-Funcional
2024-05-13,Estagiário,8,Projeto2-Funcional
2024-05-14,Junior,7,Projeto1-Basis
2024-05-15,Junior,10,Projeto1-Basis
2024-05-16,Senior,6,Projeto1-Basis
2024-05-17,Pleno,1,Projeto1-Funcional
2024-05-17,Junior,13,Projeto1-Funcional
2024-05-20,Pleno,11,Projeto1-Basis
2024-05-20,Junior,4,Projeto1-Basis
2024-05-21,Estagiário,11,Projeto1-Funcional
2024-05-22,Estagiário,3,Projeto1-Funcional
2024-05-23,Estagiário,6,Projeto1-Basis
2024-05-24,Junior,13,Projeto1-Basis
2024-05-24,Senior,13,Projeto1-Basis
2024-05-27,Junior,2,Projeto2-Funcional
2024-05-27,Junior,13,Projeto1-Basis
2024-05-28,Pleno,1,Projeto1-Funcional
2024-05-29,Junior,15,Projeto1-Funcional
2024-05-30,Pleno,11,Projeto1-Basis
2024-05-31,Senior,5,Projeto1-Basis
2024-04-01,Junior,14,Projeto1-Basis
2024-04-02,Junior,14,Projeto1-Basis
2024-04-03,Estagiário,2,Projeto1-Funcional
2024-04-04,Junior,9,Projeto2-Funcional
2024-04-05,Junior,3,Projeto1-Basis
2024-06-05,Pleno,12,Projeto1-Funcional
2024-06-08,Estagiário,6,Projeto2-Funcional
2024-04-08,Junior,4,Projeto1-Basis
2024-04-09,Junior,13,Projeto2-Funcional
2024-04-10,Junior,12,Projeto1-Basis
2024-04-11,Junior,6,Projeto1-Basis
2024-04-12,Pleno,11,Projeto1-Basis
2024-06-12,Senior,5,Projeto1-Funcional
2024-06-15,Junior,14,Projeto1-Basis
2024-04-15,Estagiário,5,Projeto2-Funcional
2024-04-16,Junior,8,Projeto1-Basis
2024-04-17,Pleno,13,Projeto1-Basis
2024-04-18,Junior,11,Projeto1-Funcional
2024-04-19,Junior,8,Projeto1-Basis
2024-06-19,Pleno,11,Projeto1-Funcional
2024-06-22,Senior,14,Projeto1-Basis
2024-04-22,Estagiário,14,Projeto1-Basis
2024-04-23,Estagiário,7,Projeto1-Funcional
2024-04-24,Senior,12,Projeto1-Funcional
2024-04-26,Estagiário,10,Projeto1-Basis
2024-04-26,Junior,3,Projeto2-Funcional
2024-06-26,Senior,3,Projeto1-Funcional
2024-06-29,Senior,8,Projeto1-Basis
2024-04-29,Junior,6,Projeto1-Funcional
2024-04-30,Estagiário,14,Projeto1-Basis
2024-06-02,Junior,10,Projeto1-Funcional
2024-06-02,Junior,6,Projeto1-Funcional
2024-06-03,Junior,12,Projeto1-Funcional
2024-06-04,Expert,15,Projeto1-Funcional
2024-06-05,Senior,10,Projeto1-Basis
2024-06-06,Senior,14,Projeto1-Funcional
2024-06-07,Senior,6,Projeto1-Funcional
2024-06-07,Junior,10,Projeto1-Basis
2024-06-10,Junior,10,Projeto1-Funcional
2024-06-10,Estagiário,13,Projeto1-Basis
2024-06-11,Pleno,2,Projeto1-Funcional
2024-06-12,Estagiário,9,Projeto1-Funcional
2024-06-13,Junior,15,Projeto1-Basis
2024-06-14,Estagiário,10,Projeto1-Funcional
2024-06-14,Junior,13,Projeto1-Funcional
2024-06-17,Junior,9,Projeto1-Basis
